C_TICK_N C_S C C_ TO_CHAR(C_FLT_ST SUBST SL_LOCATION_NAME                                   C_TO_ SUBSTR(T.SL_LOC
EUKFJ555 509 I EF 02/08/2021 12:45 15255 Newport [S.Wales]                                  57366 London

EUKFJ555 509 O E8 04/08/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFJ598 509 O E6 02/08/2021 11:30 57366 London                                             15035 Cardiff

EUKFJ750 509 I E8 02/08/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFJ750 509 O EO 02/08/2021 21:30 57366 London                                             15255 Newport [S.Wale

EUKFJ762 509 O E8 22/07/2021 12:30 57366 London                                             15035 Cardiff

EUKFJ762 509 I ED 06/08/2021 10:45 15035 Cardiff                                            57366 London

EUKFJ779 509 O EO 30/07/2021 21:30 57366 London                                             15255 Newport [S.Wale

EUKFJ779 509 I EQ 01/08/2021 17:15 15255 Newport [S.Wales]                                  57366 London

EUKFJ860 509 O EE 21/07/2021 15:30 57366 London                                             15035 Cardiff

EUKFJ908 509 O EK 24/07/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFJ935 509 I EC 20/07/2021 09:45 15035 Cardiff                                            57366 London

EUKFJ935 509 O EH 21/07/2021 17:30 57366 London                                             15035 Cardiff

EUKFJ996 509 O EA 30/07/2021 12:30 57366 London                                             15010 Cardiff Univers

EUKFJ996 509 I EF 01/08/2021 12:45 15010 Cardiff University                                 57366 London

EUKFK095 509 I EC 20/07/2021 09:45 15135 Cardiff (Castle)                                   57366 London

EUKFK095 509 O EH 20/07/2021 17:30 57366 London                                             15135 Cardiff (Castle

EUKFK190 509 I EM 23/07/2021 15:00 15255 Newport [S.Wales]                                  57366 London

EUKFK190 509 O EF 25/07/2021 16:30 57366 London                                             15255 Newport [S.Wale

EUKFK390 509 I E5 10/08/2021 04:55 15255 Newport [S.Wales]                                  57366 London

EUKFK390 509 O EL 12/08/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFK572 509 I E9 20/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFK572 509 O EL 21/07/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFK596 509 I EA 31/07/2021 07:45 15135 Cardiff (Castle)                                   57328 London (Earl's

EUKFK596 509 O E9 01/08/2021 12:30 57336 London (Hammersmith)                               15135 Cardiff (Castle

EUKFK598 509 I ES 07/10/2021 03:00 15035 Cardiff                                            57366 London

EUKFK598 509 O EN 11/10/2021 20:30 57366 London                                             15035 Cardiff

EUKFK634 509 I E9 21/07/2021 07:15 15135 Cardiff (Castle)                                   57366 London

EUKFK634 509 O EJ 23/07/2021 18:00 57366 London                                             15135 Cardiff (Castle

EUKFK650 509 I EB 16/08/2021 09:15 15035 Cardiff                                            57366 London

EUKFK650 509 O E8 18/08/2021 12:30 57366 London                                             15035 Cardiff

EUKFK925 509 O EL 28/07/2021 18:30 57366 London                                             15035 Cardiff

EUKFK972 509 I EI 24/07/2021 13:45 15035 Cardiff                                            57366 London

EUKFL140 509 O E4 30/07/2021 10:30 57366 London                                             15255 Newport [S.Wale

EUKFL140 509 I EL 01/08/2021 15:00 15255 Newport [S.Wales]                                  57366 London

